z, A, lambda, tau
6.942279856813425,-46.077735882924216,1.716501156849437e32,2.7538091925911554
6.935036047922331,-45.977735882924215,1.4762423999894724e32,2.725953722927568
6.927784584752002,-45.87773588292421,1.2696084296275063e32,2.698343753244542
6.920525442889806,-45.77773588292421,1.091895208198039e32,2.670977388530426
6.913258597795903,-45.67773588292421,9.390570310442436e31,2.6438527476756626
6.905984024819088,-45.577735882924216,8.076119866925485e31,2.616967963365499
6.898701699166001,-45.477735882924215,6.945641089595898e31,2.590321181971389
6.891411595904412,-45.37773588292421,5.973383201480951e31,2.5639105634490926
6.884113689979875,-45.27773588292421,5.137219249635627e31,2.5377342812374053
6.876807956189958,-45.17773588292421,4.418102076919475e31,2.511790522155229
6.869494369196852,-45.077735882924216,3.799643813210005e31,2.4860774862932455
6.862172903521088,-44.977735882924215,3.2677459735002656e31,2.4605933869103236
